Litigation Title,Citation,Other Citations (Cases) That Might be Relevant,Court,Circuit,Year,State,Covered,Case Type,Practice Challenged,Governing Body,Suit Filed Subsequent to Shelby County,Practice Enacted Subsequent to Shelby County,Success,Intent,Violation,Considered Gingles Factors,G1c - large and compact,G1f,G2c - cohesive,G2f,G3c - maj block voting,G3f,Gall,Considered Senate Factors,1c - history,1f,2c - polarized,2f,3c - disc practices,3f,4c - slating,4f,5c - effects,5f,6c - racial appeals,6f,7c - minority officials,7f,8c - responsiveness,8f,9c - policy justification,9f,African American,Latino,Native American,Asian,Multi,White,Other
Augustine v. Avoyelles Parish Police Jury,2009 WL 1393706,,W.D. La.,5,2009,LA,Y,Fees,Reapportionment Plan (District Lines),County,N,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Dillard v. Colbert County Com'n,494 F.Supp.2d 1297,,M.D. Ala.,11,2007,AL,Y,Fees,At-large (mixed 1-5),State,N,N,N,,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Reaves v. Sweeney,2007 WL 1068452,,D.S.C.,4,2007,SC,Y,Liability,Election procedure (poll violation),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,,N
Ford v. Tennessee Senate,2007 WL 5659414,,W.D. Tenn.,6,2007,TN,N,Fees,Election procedure (voiding special election),State,N,N,N,N,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,,N
Perez v. Texas,891 F. Supp. 2d 808,,W.D. Tex.,5,2012,TX,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnus v. Board of Elections in City of NY,2010 WL 3528544,,E.D.N.Y.,2,2010,NY,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis v. Detroit Public Schools Community District,2017 WL 3129838,,E.D. Mich.,6,2017,MI,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lopez v. Abbott,2018 WL 4346891,,S.D. Tex.,5,2018,TX,Y,Liability,At-large elections,State,Y,N,N,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N
Parson v. Alcorn,157 F.Supp.3d 479,,E.D. Va.,4,2016,VA,Y,Preliminary,Election procedure (partisan primary),State,Y,Y,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Akina v. Hawaii,141 F.Supp.3d 1106,,D. Haw.,9,2015,HI,N,Preliminary,Election procedure (voter qualifications),State,Y,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,N,Y (Native Hawaiian)
US v. Euclid City School Board,632 F.Supp.2d 740,,,,2009,OH,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nelson v. Dean,528 F. Supp. 2d 1271,,,,2007,FL,,,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalez v. Arizona,677 F.3d 383,,,,2012,AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescod v. Bucks County,2009 WL 3617751,,,,2009,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanchez v. Board of Easter NM,361 Fed.Appx. 980,,10th Cir.,10,2010,NM,N,Fees,At-large Elections,School,N,N,N,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
"Gonzalez v. Harris Count, Tex.",601 Fed. Appx. 255,,5th Cir.,5,2015,TX,Y,Liability,Reapportionment/Redistricting Plan (district lines),County,N,N,N,,,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N
North Carolina State Conference of NAACP v. McCrory,831 F.3d 204,,4th Cir.,4,2016,NC,N,Liability,"Election Procedure (Photo ID, early voting, same-day registration, out-of-precinct voting, preregistration)",State,Y,Y,Y,Y,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Ohio State Conference of N.A.A.C.P. v. Husted,43 F. Supp. 3d 808,,,,2014,OH,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri State Conference of the NAACP v. Ferguson-Florissant School District,219 F.Supp.3d 949,,,,2016,MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanchez v. Cegavske,214 F.Supp.3d 961,,D. Nev.,9,2016,NV,N,Preliminary,"Election Procedure (Voter Registration, Early Voting, Polling Locations)",State,Y,Y,Y,,,N,N,,N,,N,,N,Y,Y,Y,N,,N,,N,,Y,Y,N,,N,,Y,,N,,N,N,Y,N,N,N,N
Alabama State Conference of NAACP v. State,2017 WL 3816151,,M.D. Ala.,11,2017,AL,Y,Liability,At-large Elections,State,Y,N,Y,,,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Luna v. County of Kern,291 F.Supp.3d 1088,,E.D. Cal.,9,2018,CA,N,Liability,Reapportionment/Redistricting Plan (district lines),County,Y,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,
"Harding v. County of Dallas, Texas",2018 WL 4051865,,N.D. Tex.,5,2018,TX,Y,Liability,Reapportionment/Redistricting Plan,County,Y,N,N,,N,Y,Y,,Y,,Y,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,N,Y,N
Democratic National Committee v. Reagan,904 F.3d 686,,9th Cir.,9,2018,AZ,Y,Liability,Election procedure (out of precinct policy); Election procedure (ban on third party ballot collection),State,Y,N (Out of precinct); Y (third party),N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,N,N,Y,N,N
Belle v. Detroit City Clerk,2018 WL 4036903,,Mich. App.,6,2018,MI,N,Liability,Election proceure (absentee-ballot processing),City,Y,Y,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,Y,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Lewis v. Governor of Alabama,896 F.3d 1282,,11th Cir.,11,2018,AL,Y,Liability,Other (State nullified City Ordinance),State,Y,Y,N,Y,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,Y,N,N,N,N,N,N
Abbott v. Perez (CD 27),138 S.Ct. 2305,,U.S.,5,2018,TX,Y,Liability,Reapportionment/Redistricting plan (Legislative districts),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Abbott v. Perez (HD 32),138 S.Ct. 2305,,U.S.,5,2018,TX,Y,Liability,Reapportionment/Redistricting plan (Legislative districts),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Abbott v. Perez (HD 34),138 S.Ct. 2305,,U.S.,5,2018,TX,Y,Liability,Reapportionment/Redistricting plan (Legislative districts),State,N,N,N,N,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Abbott v. Perez (HD 90),138 S.Ct. 2305,,U.S.,5,2018,TX,Y,Liability,Reapportionment/Redistricting plan (Legislative districts),State,N,N,Y,N,Y,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,Y,N,N,N,N,N
Bear v. County of Jackson,2016 WL 3435181,,D.S.D.,8th Cir.,2016,SD,N,Preliminary,Election procedure (voter registration),County,Y,Y,N,,N,N,N,,N,,N,,N,N,N,,N,,N,,N,,N,,N,,N,,N,,N,,N,N,Y,N,N,N,N
